元ネタURL,使用日,テーマ
https://x.com/oborokmo/status/2094680970360397986,2026-09-01,ダンゴムシが石(炭酸カルシウム)を食べて外骨格を作るバズ→脱皮は二相性(biphasic molt)で後半身を先に脱ぎ1〜2日後に前半身を脱ぐ・その間は前後で色が違うツートンになる(Wright&Ting, ZooKeys 2018 PMC6288263 / Armadillidium vulgare・Porcellio dilatatus)/脱皮前は第1〜4胸節腹板の下に炭酸カルシウムの白い沈着(sternal deposits)が透けて見え、これで脱皮前個体を判別できる=古いクチクラから回収したCaを球状体で一時貯蔵/脱皮殻はPE・AEそれぞれの後2日以内にほとんどの個体が食べてCaを回叞/脱皮前は水蒸気を吸って体積を広げ、A. vulgareは相対湿度100%で脱皮6日前からPEまでに体重+10.31%・脱皮周期12〜13日通算で+5.72%(ピークは1日約3%)
https://x.com/wasanbong/status/2093687993072844957,2026-09-02,公侯伯子男の序列バズ→明治の五爵は叙爵内規(1884)で機械的に決定・侯爵は旧大藩知事の現米15万石以上/伯爵は現米5万石以上(叙爵内規)・徳川御三家は石高と無関係に侯爵枠で現米5万7730石の水戸徳川家も侯爵(Wikipedia 侯爵)・出典は『礼記』王制「王者之制禄爵、公侯伯子男、凡五等」で周代の中国由来・1884年7月7-8日の最初の叙爵は504家、1947年5月3日の日本国憲法14条2項「華族その他の貴族の制度は、これを認めない」で廃止・公爵と侯爵は同音のため侯爵は俗に「そうろうこうしゃく」と呼び分けられた・英語の五爵ではearlのみ古英語eorl(北欧jarl同源)の土着語で他はノルマン仏語由来、女性形は作られずcountessを流用(en.wikipedia Earl)
https://x.com/Guarana_KIRIN/status/2093959316633276448,2026-09-02,札幌市民は地下をウロウロするので地上に人が写らない写真が撮れるバズ→駅前通の歩行者は地上・地下合計で開通前H22の約3.7万人/日から開通9年後R1に約9.0万人/日へ約2.4倍・R2コロナ下でも7.1万人/日(札幌市 整備効果/北海道開発局 チカホ開通10周年資料、毎年9月の平日1日9-20時11時間計測)/同期間に札幌駅前通の地価が2.2倍に上昇(札幌市)=「人が少ない」のは人出が減ったのではなく地下へ移動しただけ/チ・カ・ホは実延長520m(総延長680m)・幅員は歩行空間12m＋地下広場4m×2で2011年3月12日供用開始、法的には道路法上の道路(札幌駅側=北海道道18号札幌停車場線区間を市が、大通側=国道36号区間を北海道開発局が管理)であり道路上に広場を置くため条例を制定・指定管理は札幌駅前通まちづくり株式会社/通行可能時間は5:45〜24:30で24時間ではない・地下鉄コンコースと繋がりすすきの駅まで約1,900mがほぼ直線
https://x.com/fromsekaowa/status/2094987709727338901,2026-09-02,引用:「おささってる」という言葉を初めて知ったバズ(Fukase/SEKAI NO OWARI・12,540いいね)→北海道方言の助動詞「さる/ささる」は五段動詞は未然形+さる・上一段/下一段は未然形+らさる(Wikipedia 北海道方言)・意味は「進んでそうしようと思っていないが状況が自動的にそうしてしまう」自発で道具を主語に据える中間構文の性質も持つ/否定形にすると意味が反転し肯定「押ささる=意図せず押してしまった」に対し否定「書かさらない=書こうとしてもインクが出ず書けない」「窓が開かさんない=凍っていて開けられない」となる・肯定否定どちらにも「悪いのは対象物であって自分ではない」という責任回避のニュアンスが組み込まれている(hokkaidofan)/共通語の「〜れる/〜られる」とは適用範囲が一致せず置換不能・共通語に対応形式が存在しない/言語学では「逆使役(anti-causative)構文」と呼ばれ井上拓也(京都大学院)「北海道方言における『逆使役構文』に関する認知的考察」、林由華(国立国語研究所/日本学術振興会)「日本の諸方言における『逆使役』―通方言的研究に向けて―」、氏家啓吾(東京大学言語学論集)等の研究がある/分布は北海道のほか青森県・静岡県でも使用(ねとらぼ)・秀舞子「北海道方言における自発の助動詞サルの使用実態―主に世代差・男女差について―」で世代差男女差が調査されている
https://x.com/miwakovamp/status/2094757831580811589,2026-09-02,「那須の与一の那須です」式の字の説明バズ→国が定めた公式の通話表が実在し無線局運用規則(昭和25年11月30日電波監理委員会規則第17号)第14条3項・別表第五号で海上/航空移動業務の無線電話では使用が義務(和文通話表)/中身は朝日のア・いろはのイ・上野のウ・英語のエ・大阪のオ…おしまいのン/濁音半濁音は「はがきのハに濁点」「はがきのハに半濁点」と送る・0は「数字のまる」・4と7は「よん」「なな」/昭和25年制定時の表記のまま更新されておらず促音が大書きの「マツチのマ」・現代語では使わない「るすいのル」・現代かなづかいで日常表記から外れた「ゐどのヰ」「ゑのヱ」も現役で残る/欧文通話表(Alfa Bravo Charlie)は英字部分が国際共通で数字部分のみ海上移動業務と航空移動業務で分かれる
https://x.com/asahicom/status/2094643969057857768,2026-09-03,スーパーの卵から孵したウズラのバズ→孵るのはうずらだけで市販の鶏卵は原理的に孵らない・採卵鶏舎は雌のみで飼養され産まれる卵は全て無精卵(家畜改良センター岡崎牧場「有精卵と無精卵」)・雄と同居させる場合の理想比は雄1:雌10〜15/有精卵の胚は黄身の上の直径3〜4mmの白い輪(胚盤)で無精卵よりハッキリ大きく、検卵は加温10日目頃・殻が赤い卵は12〜14日頃が見分けやすい(同)/孵化させて飼うと家畜伝染病予防法上の家畜所有者になり、うずらは対象家畜(鶏・あひる・うずら・きじ・エミュー・だちょう・ほろほろ鳥・七面鳥)で1羽以上から飼養衛生管理基準の遵守義務・毎年2月1日時点の飼養状況を6月15日までに都道府県へ定期報告する義務がある(法12条の3第1項/12条の4、農水省・東京都産業労働局)・農水省は「飼養する目的(学術、教育、愛玩、展示等)を問わず報告の必要があります」と明記＝ペットで1羽でも対象/小規模所有者の区分は家きん100羽未満/うずらの産卵率は280日齢(約10ヶ月齢)まで80〜90%・50%産卵日齢は約50日・愛知県が全国シェア60%台で豊橋市が県内の7〜8割(農水省 うずら飼養実態報告書 airepo-2.pdf)
https://x.com/NazologyInfo/status/2095122567380234739,2026-09-03,引用:「超オス」放流開始から6年で外来ブルックトラウトのメス根絶に成功のバズ(ナゾロジー・11,912いいね)→元投稿は「Y染色体を2本持つので子はオスだけ」までしか触れておらずYY個体の作り方が未言及/作り方は若いオス(XY)にエストラジオール入りの餌を与えて「卵を産むオス」に転換し通常のXYオスと交配するとXX:XY:YY=1:2:1で4分の1がYYになる(WAFWA/Colorado Parks & Wildlife「Trojan Male (YY) Brook Trout」ファクトシート)/生まれたYYの一部を再びエストラジオールで卵を産む個体にし、卵を産むYYと精子を作るYYの両系統を親魚として孵化場で維持する(同)/YY親魚の子は稔性がありYYオスが野生のメスと交配すると子は全てXYオス・X染色体を持たないためメスが一切生まれない(同)/遺伝子組換えではなくアイダホ州魚類野生生物局(IDFG)は"YY-male brook trout are produced through careful selective breeding and does not use any genetic modifications"と明記(IDFG blog 2021-08)/理論の元はTrojan Y Chromosome(TYC)モデルでGutierrez & Teem (2006) J.Theor.Biol.、河川樹状ネットワークへの拡張はJ.Math.Biol.(2011, PMID 21373803)
https://x.com/DB_Daijiro/status/2095139150098034983,2026-09-03,世界の七面鳥の名前が8カ国で全部よその国名バズ→英語turkeyは元々アフリカ産ホロホロ鳥の呼び名でトルコ経由(Ottoman領)で欧州に輸入されたことに由来し北米の別種に外見が似ていたため名前ごと転用された(en.wikipedia Turkey(bird)/National Geographic Fowl Play)/転用の起点はポルトガル商人が産地を意図的に曖昧にした交易でアメリカ産七面鳥とアフリカ産ホロホロ鳥がほぼ同時期に欧州着したこと(National Geographic)/英語での定着は1600年代初頭・1550年にWilliam Stricklandが"turkey-cock in his pride proper"の紋章を授与されシェイクスピア『十二夜』(1601-02)で既に説明抜きで使われている(en.wikipedia)/学名Meleagris gallopavoのMeleagrisは古代ギリシャ語μελεαγριςで意味は「ホロホロ鳥」＝リンネが1758年『自然の体系』第10版で属を設立した時点の混同が学名に化石として残存(en.wikipedia)/各言語の呼称は仏dinde(d'Inde=インドの鶏)・蘭kalkoen(カリカット鶏)・露indjushka・土hindi(インドの)・レバント方言アラビア語dik habash(エチオピアの鶏)・マレーayam belanda(オランダの鶏)・クメールmoan barang(フランスの鶏)・アルバニアgjel deti(海の雄鶏)・葡peru・ペルシャbooghalamoon(擬音)(National Geographic/Slate 2014-11)/インドの呼称は逆輸入でヒンディー語टर्की(tarki)＝英語turkeyそのもの(Slate)/ナワトル語huehxolotl(西guajolote)が現代メキシコでも併用(en.wikipedia)/和名「七面鳥」だけは産地由来ではなく頭から首の露出した皮膚が赤青紫に変色し七つの顔を持つように見えることから(語源由来辞典)＝実際の原産は北米
https://x.com/kaeruZangyo/status/2095089592504627612,2026-09-03,引用:カニの「ふんどし」が三角でも丸でもカニというネタ投稿(@kaeruZangyo 約18500いいね)→ふんどし(腹部)が三角形なのが雄・丸いのが雌で他のカニでも同様に判別できる(東京都 葛西臨海水族園 公式)/ただし丸ければ雌とは限らない: 寄生性フジツボであるフクロムシ(根頭上目Rhizocephala 鞘甲亜綱・蔓脚下綱に属しフジツボと同じ仲間の甲殻類)に寄生された雄ガニは「ハサミが小型化するとともにフンドシ部分が広がり 形態の疑似雌化が起こる」・「一見して ほとんど雌に見えるまでフンドシが平がった個体も見られるが その場合でもペニスは存在するので 寄生雄が完全に雌化しているわけではない」(岡野桂樹 秋田県立大学「寄生性フジツボ(フクロムシ)の生物学」化学と生物 60巻9号 459-466頁 2022年9月)/寄生により生殖腺が抑制される現象は寄生去勢と呼ばれ卵巣の極端な萎縮が起こる・エクステルナ(体外に露出した寄生虫の卵塊)がある間は脱皮が起こらず脱落して次のバージンエクステルナ出現直前に脱皮する(同)/寄生カニは雌雄を問わずエクステルナを自分の卵塊と誤認して汚れをとり酸素を送り幼生の孵出を助ける「フラップ行動」を行う(同)
https://x.com/PrettyPinkyFF14/status/2094975891990544713,2026-09-03,散歩中に見た「尻尾がゲーミングなトカゲ」バズ(@PrettyPinkyFF14 約6450いいね・写真と「何これ」のみで解説なし)→青は色素ではなく構造色でイリドフォア内のグアニン由来結晶が青波長を反射(JEB 228(8) jeb249623 2025 "The integrative biology of decoy coloration in lizards")/青い尾は「狙わせるための囮」でクレイモデル実験(青い尾24体 vs 全身茶24体・7日間)では青い尾モデルは尾を攻撃される頻度が有意に高く(P<0.001)、全身茶モデルは頭と胴を攻撃された(P=0.019)/さらに青い尾モデルは襲われるまでが早く(P=0.001)攻撃回数も多い(P=0.007)＝目立つリスクを引き受けて急所から攻撃を逸らす"risky-decoy"仮説(Bateman et al., Current Zoology 60(3):333, 2014 "Bite me: blue tails as a risky-decoy defense tactic for lizards")/ニホントカゲは自切した尾を再生するが再生尾には椎骨が無く軟骨で支えられ元より短くなる・オスは生後2年で成熟し体色が褐色に変わるがメスは幼体の縦縞を残すことが多い(Wikipedia ニホントカゲ)
https://x.com/Yakei_project/status/2095121439582302437,2026-09-04,「丸亀製麺は丸亀市発祥ではない」等の名前と実態のズレバズ(@Yakei_project 約3,800いいね・「発祥ではない」までしか触れず)→運営は株式会社丸亀製麺(トリドールHD傘下)で1号店は2000年11月開店の「丸亀製麺加古川店」＝兵庫県加古川市(Wikipedia 丸亀製麺)・創業者粟田貴也は兵庫県神戸市生まれで1985年8月に加古川市で焼鳥店「トリドール三番館」を創業したのが源流＝うどんチェーンだが社名の由来は鳥(Wikipedia 粟田貴也)/店名の由来は諸説あり「父の故郷の丸亀と長寿の象徴の鶴亀の亀に丸というのが縁起がいい」(Wikipedia 粟田貴也)とする一方、丸亀製麺の項では「実父が香川県坂出市の出身」と記述が食い違うため断定を避けた/核心は香川県丸亀市に店舗が1店も無いこと: 「過去には3店舗が出店したものの撤退を余儀なくされた。そして香川県進出から20年近く経過したいまも、丸亀市での出店は叶わず」「県内も1店舗のみにとどまっている」(PRESIDENT Online 2025年 丸亀うどん祭り記事)＝県内唯一の店は高松市(Wikipedia 2022年7月時点でも高松1店のみ)/2025年11月21-22日に丸亀市・トリドールHD・丸亀製麺の共同開催で「丸亀うどん祭り2025」を実施し全国から200人超の社員を集結させたが「会場で自社のうどんは一杯も売られていない」＝地元店だけを出店させた(PRESIDENT Online)/※同ネタ元の「広島焼き」「神戸電子専門学校」部分は未使用
https://x.com/ceciarmy/status/2095436426921808143,2026-09-04,引用:「1989年、ペリカンが毎日日本の保育園に通い子どもたちと過ごした」というスペイン語のバズ投稿(@ceciarmy 約141,000いいね・動画付き。名前も場所も年齢も一切触れず「日本のある保育園」までしか書いていない)→このペリカンはモモイロペリカンの「カッタくん」で山口県宇部市のときわ公園(常盤公園)生まれ・1985年7月15日生-2008年7月16日没=誕生日の翌日に23歳(人間でいう約40歳)で死亡(Wikipedia カッタくん/ときわ動物園公式)/名前の由来は「両親のふるさとであるインドのカルカッタにちなんで名付けられた」(Wikipedia)・ときわ公園公式も「故郷のインド・カルカッタにちなんで」と記載/通った先は保育園ではなく私立明光幼稚園(Wikipedia)で公園から800m離れており空から自力で通園していた(ときわ動物園公式)/園児と一緒に音楽に合わせて踊り、鏡に映った自分に求愛のポーズをとった(ときわ動物園公式)/園舎の建て替え工事の時期は先生と園児を見つけて一緒に歩いて通園した(ときわ動物園公式)←今回本文で使った核心/1989年に日本動物愛護協会より表彰(ときわ動物園公式)/1995年7月15日、市民の募金によりアニメ映画「カッタ君物語」が制作され全国上映(Wikipedia/ときわ動物園公式)
https://x.com/H_Y_per/status/2095371238776701055,2026-09-04,鉄筋コンクリートは鉄とコンクリートの線膨張係数がほぼ同じで弱点を補い合うバズ(@H_Y_per 約16,785いいね・派生元は@Aworker6「建築学生に聞いた推しカプ1位 鉄筋×コンクリート」約6,707いいね。両者とも線膨張係数と圧縮/引張の補完までしか触れず防錆機構に未言及)→今回の核心はそこではなく防錆: コンクリートは細孔溶液がpH12〜13の強アルカリで鉄筋表面に不動態皮膜(酸化被膜)を形成し腐食を止めている(一般社団法人コンクリートメンテナンス協会「中性化とは」/CMC)/空気中の二酸化炭素がCa(OH)2と反応して中性化が進みpH11以下になると不動態皮膜が破壊され鉄筋が腐食を開始する・実務では「中性化残り10mm以下」を腐食開始の判定基準とする(j-cma.jp)/錆びた鉄は体積が約2.5倍に膨張しかぶりコンクリートを内側から押し割る=ひび割れ・剥離(爆裂)(CMC「鋼材(鉄筋)の腐食によるコンクリートのひび割れ」)・塩害側の閾値は塩化物イオン量1.2kg/m3/コンクリートの熱膨張係数は骨材依存で一定ではなくケイ酸質骨材(チャート・珪岩)は2.5〜3.6×10-6/℃、純石灰岩・玄武岩・花崗岩・片麻岩は0.7〜2.5×10-6/℃と幅がある=「ほぼ同じ」は骨材次第の平均的一致(Penn State CE584)/※未使用の残り: 発明者は庭師のジョセフ・モニエで1867年7月16日に取得した最初の特許は建築物ではなく園芸用の鉄筋トラフ(植木鉢)、以後1868年パイプ・1869年壁パネル・1873年橋・1878年枕木と拡張(en.wikipedia Joseph Monier)
https://x.com/Toraja_Mame/status/2094974503545938207,2026-09-04,引用:「しけってる」は方言なのか・漢字は「湿気てる」なのかという疑問バズ(@Toraja_Mame・59701いいね/2026-09-02 11:23 JST投稿)→海が荒れる「時化る」と煎餅が「湿気る」は同源で「時化」は当て字・名詞「しけ」は動詞「時化る」の連用形(語源由来辞典 https://gogen-yurai.jp/shike/ )/最古の語義は「空が曇る」で『日葡辞書』に「天気が曇る」とある(語源由来辞典)/精選版日本国語大辞典は7義を立て 空が曇る→風雨で海が荒れる→不景気になる/ふところが乏しくなる→生気がなくなる/しょげる(=「しけた顔」)→失敗する→こもる→湿気を帯びる と拡張(kotobank https://kotobank.jp/word/%E6%99%82%E5%8C%96%E3%82%8B-518428 )/デジタル大辞泉は「風雨が強く海が荒れる・不漁になる」「金回りが悪くなる・けちけちする」「気持ちが落ち込む・しょげる」の3義(同)/未使用の種:「しっける」は「しける」からの変化で新明解国語辞典は東京方言と注記・下一段活用「しけている」と五段活用「しけっている」が並存(日経校閲)
https://x.com/fujimi_gaoka/status/2095408230579249260,2026-09-04,マクドナルドの番号札に技適マークがあるバズ(@fujimi_gaoka 約6,781いいね/2026-09-03 16:07 JST・「電波が出てるから技適マークがある」までしか触れず中身も図案も未言及)→今回の核心は技適マークの図案そのもので、直径5mm以上(体積100cc以下の無線設備は3mm以上)の丸の中に「稲妻型の電波」と「郵便マーク(〒)」をかたどった意匠が入っている(ケータイ Watch[ケータイ用語の基礎知識]第466回 https://k-tai.watch.impress.co.jp/docs/column/keyword/366209.html )・e-Wordsも「アルファベットの『e』の下側の膨らみの中に『〒』マークが入ったデザイン」と記述(e-words.jp)＝2媒体で〒の混入を確認/技術基準適合証明制度の開始は1981年(昭和56年)11月・現行の技適マークは1995年4月から使用され同時期以降は筐体印刷やラベル貼付でなくディスプレイ表示(電子的表示)も可(Wikipedia 技適マーク)/根拠は電波法第4条第2号・第38条の23・罰則は電波法第110条第1号/番号札の実体はRFIDの受動タグではなくBLE(Bluetooth Low Energy)の能動発信機で、搭載モジュールはMicrochip TechnologyのRN4020・相互承認(MRA)による工事設計認証でFCC(米)CE(EU)マークも併記されている(Qiita @ogatomo21 / ogatomo.net 技適番号から特定)/製造はフランスのAcrelec社(2004年設立、2020年からグローリー傘下)でシステム名は「テーブルロケーター」・位置特定はピンポイントではなくエリア単位の把握(RFIDプラス go-v.co.jp)/※未使用の種: 電波行政は2001年の中央省庁再編まで郵政省の所管(本文の落ちで史実としてのみ言及)・座席特定の受信機設置場所と電池仕様はどの調査記事でも未確認のまま
https://x.com/ENJOYBOUSAI/status/2095747610707718154,2026-09-05,山形県民はあけびの皮を食べる・中に肉みそを詰めて焼くバズ(@ENJOYBOUSAI 約5,994いいね/2026-09-04 14:35 JST投稿・「皮がメイン/関東の親戚は中を食べる」までで割合・成分・制度面には未言及)→今回の核心は皮と実の量比で、日本食品標準成分表はあけびを果肉(07001)と果皮(07002)の別食品として収載し、備考欄に「全果に対する割合」を 果皮70%・果肉20%・種子7%・へた3% と明記(文部科学省 日本食品標準成分表 果実類)＝関東が食べている果肉は全果の2割に過ぎない←今回本文と動画のbarsで使った核心/可食部100gあたりの食物繊維総量は果皮3.1gに対し果肉1.1gで約3倍・カリウムも果皮240mgに対し果肉95mgで約2.5倍(食品成分データベース fooddb.mext.go.jp 07001/07002・果物ナビ)/ただしビタミンCは果肉65mgに対し果皮9mgで果肉が約7倍と逆転(同)/農林水産省「うちの郷土料理」山形県の項は「皮の部分を食べるという全国的にも珍しい食文化がある」と記載・料理名は『あけびの味噌詰め焼き／あけびの油焼き』で種を除いた皮にきのこ・みょうが・味噌・砂糖の具を詰めたこ糸で結び蓋をして焼く・苦味は味噌と合わせることで食べやすくなる(maff.go.jp うちの郷土料理 山形県)/※未使用の残り: 栽培の本格化は1970〜80年代で天童市で採取されたあけびが関東で好評を博したことが契機・主産地は村山地域と置賜地域・出荷は8〜10月(maff うちの郷土料理/おいしい山形)
